BNV9101 | Toyota | Camry 2019 | Sedan | Automatic | 280 | Available
VEV8101 | Perodua | Myvi 2020 | Hatchback | Automatic | 180 | Available
BED3810 | Perodua | Bezza 2022 | Sedan | Automatic | 220 | Available
WVW8923 | Honda | Civic 2021 | Sedan | Automatic | 240 | Available
PGH3895 | Honda | CR-V 2019 | SUV | Automatic | 220 | Available
UGH9777 | Honda | Civic 2021 | Sedan | Automatic | 240 | Available
PAJ8267 | Toyota | Camry 2019 | Sedan | Automatic | 280 | Available
AOP5012 | Perodua | Bezza 2022 | Sedan | Automatic | 220 | Available
KLF0120 | Perodua | Myvi 2020 | Hatchback | Manual | 150 | Available
BJV2845 | Honda | Civic 2021 | Sedan | Automatic | 240 | Available
HGT2943 | Toyota | Camry 2019 | Sedan | Automatic | 280 | Available
ENC8369 | Perodua | Bezza 2022 | Sedan | Automatic | 220 | Available
DHD2324 | Perodua | Myvi 2020 | Hatchback | Manual | 150 | Available
KSD8933 | Honda | Civic 2021 | Sedan | Automatic | 240 | Available
CKX3739 | Perodua | Bezza 2022 | Sedan | Automatic | 220 | Available
VID8037 | Honda | CR-V 2019 | SUV | Automatic | 220 | Available
USB3858 | Perodua | Myvi 2020 | Hatchback | Automatic | 180 | Available
CJK0808 | Perodua | Bezza 2022 | Sedan | Automatic | 220 | Available
VDK3633 | Honda | CR-V 2019 | SUV | Automatic | 220 | Available
